KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KOD_RUIAN
"CS","CISORP",65,"1000","Praha","Praha","01.01.2003","09.09.9999","19"
"CS","CISORP",65,"2101","Beneöov","Beneöov","01.01.2003","09.09.9999","27"
"CS","CISORP",65,"2102","Beroun","Beroun","01.01.2003","09.09.9999","51"
"CS","CISORP",65,"2103","Brand˝s n.L.-S.Boleslav","Brand˝s nad Labem-Star· Boleslav","01.01.2003","09.09.9999","213"
"CS","CISORP",65,"2104","»·slav","»·slav","01.01.2003","09.09.9999","124"
"CS","CISORP",65,"2105","»ernoöice","»ernoöice","01.01.2003","09.09.9999","230"
"CS","CISORP",65,"2106","»esk˝ Brod","»esk˝ Brod","01.01.2003","09.09.9999","108"
"CS","CISORP",65,"2107","Dob¯Ìö","Dob¯Ìö","01.01.2003","09.09.9999","248"
"CS","CISORP",65,"2108","Ho¯ovice","Ho¯ovice","01.01.2003","09.09.9999","60"
"CS","CISORP",65,"2109","Kladno","Kladno","01.01.2003","09.09.9999","78"
"CS","CISORP",65,"2110","KolÌn","KolÌn","01.01.2003","09.09.9999","94"
"CS","CISORP",65,"2111","Kralupy nad Vltavou","Kralupy nad Vltavou","01.01.2003","09.09.9999","132"
"CS","CISORP",65,"2112","Kutn· Hora","Kutn· Hora","01.01.2003","09.09.9999","116"
"CS","CISORP",65,"2113","Lys· nad Labem","Lys· nad Labem","01.01.2003","09.09.9999","183"
"CS","CISORP",65,"2114","MÏlnÌk","MÏlnÌk","01.01.2003","09.09.9999","141"
"CS","CISORP",65,"2115","Mlad· Boleslav","Mlad· Boleslav","01.01.2003","09.09.9999","167"
"CS","CISORP",65,"2116","Mnichovo HradiötÏ","Mnichovo HradiötÏ","01.01.2003","09.09.9999","175"
"CS","CISORP",65,"2117","Neratovice","Neratovice","01.01.2003","09.09.9999","159"
"CS","CISORP",65,"2118","Nymburk","Nymburk","01.01.2003","09.09.9999","191"
"CS","CISORP",65,"2119","PodÏbrady","PodÏbrady","01.01.2003","09.09.9999","205"
"CS","CISORP",65,"2120","P¯Ìbram","P¯Ìbram","01.01.2003","09.09.9999","256"
"CS","CISORP",65,"2121","RakovnÌk","RakovnÌk","01.01.2003","09.09.9999","272"
"CS","CISORP",65,"2122","ÿÌËany","ÿÌËany","01.01.2003","09.09.9999","221"
"CS","CISORP",65,"2123","SedlËany","SedlËany","01.01.2003","09.09.9999","264"
"CS","CISORP",65,"2124","Slan˝","Slan˝","01.01.2003","09.09.9999","86"
"CS","CISORP",65,"2125","Vlaöim","Vlaöim","01.01.2003","09.09.9999","35"
"CS","CISORP",65,"2126","Votice","Votice","01.01.2003","09.09.9999","43"
"CS","CISORP",65,"3101","Blatn·","Blatn·","01.01.2003","09.09.9999","434"
"CS","CISORP",65,"3102","»eskÈ BudÏjovice","»eskÈ BudÏjovice","01.01.2003","09.09.9999","302"
"CS","CISORP",65,"3103","»esk˝ Krumlov","»esk˝ Krumlov","01.01.2003","09.09.9999","329"
"CS","CISORP",65,"3104","DaËice","DaËice","01.01.2003","09.09.9999","337"
"CS","CISORP",65,"3105","Jind¯ich˘v Hradec","Jind¯ich˘v Hradec","01.01.2003","09.09.9999","345"
"CS","CISORP",65,"3106","Kaplice","Kaplice","01.01.2003","09.09.9999","311"
"CS","CISORP",65,"3107","Milevsko","Milevsko","01.01.2003","09.09.9999","396"
"CS","CISORP",65,"3108","PÌsek","PÌsek","01.01.2003","09.09.9999","400"
"CS","CISORP",65,"3109","Prachatice","Prachatice","01.01.2003","09.09.9999","418"
"CS","CISORP",65,"3110","SobÏslav","SobÏslav","01.01.2003","09.09.9999","469"
"CS","CISORP",65,"3111","Strakonice","Strakonice","01.01.2003","09.09.9999","442"
"CS","CISORP",65,"3112","T·bor","T·bor","01.01.2003","09.09.9999","477"
"CS","CISORP",65,"3113","TrhovÈ Sviny","TrhovÈ Sviny","01.01.2003","09.09.9999","281"
"CS","CISORP",65,"3114","T¯eboÚ","T¯eboÚ","01.01.2003","09.09.9999","353"
"CS","CISORP",65,"3115","T˝n nad Vltavou","T˝n nad Vltavou","01.01.2003","09.09.9999","299"
"CS","CISORP",65,"3116","Vimperk","Vimperk","01.01.2003","09.09.9999","426"
"CS","CISORP",65,"3117","VodÚany","VodÚany","01.01.2003","09.09.9999","451"
"CS","CISORP",65,"3201","Blovice","Blovice","01.01.2003","09.09.9999","591"
"CS","CISORP",65,"3202","Domaûlice","Domaûlice","01.01.2003","09.09.9999","485"
"CS","CISORP",65,"3203","HoraûÔovice","HoraûÔovice","01.01.2003","09.09.9999","558"
"CS","CISORP",65,"3204","Horöovsk˝ T˝n","Horöovsk˝ T˝n","01.01.2003","09.09.9999","493"
